food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Zinc,Nutrition Density,Types,food_encoded
guanabana nectar,148,400.0,96.0,100.0,6.0,37500.0,32800.0,300.0,300.0,0.0,61.0,212600.0,0.0,0.086,0.05,0.0,0.027,0.3,0.2,0.05,27.9,0.0,0.036,0.0,17.6,0.9,7.5,5.0,62.8,0.011,84.9,drink,78
fruit juice,108,100.0,59.0,48.0,36.0,26300.0,24200.0,300.0,200.0,0.0,100.0,172700.0,0.0,0.071,0.2,0.0,0.0,0.096,0.028,0.0,0.001,50.8,0.0,0.1,0.0,0.039,0.5,0.0,14.0,0.089,26.937,drink,79
horchata,15,200.0,0.0,0.0,0.0,3300.0,2600.0,100.0,0.0,0.0,13.0,24600.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.029,0.0,0.0,0.022,0.0,5.1,0.057,0.8,4.2,9.6,0.058,8.717,drink,80
fruit punch,98,400.0,48.0,11.0,39.0,24400.0,0.0,200.0,0.0,0.0,80.0,208600.0,0.0,0.092,0.061,0.0,0.1,0.1,0.035,0.047,11.2,0.0,0.0,0.0,16.4,0.5,7.0,7.0,154.4,0.4,53.1,drink,81
apricot nectar,139,200.0,70.0,85.0,39.0,35700.0,34200.0,900.0,1500.0,0.0,25.0,210500.0,0.0,0.044,0.059,0.0,0.014,0.6,0.2,0.036,1.5,0.0,0.8,0.008,17.4,0.9,12.4,22.3,282.7,0.2,58.1,drink,82
orangensaft ja,86,0.0,0.0,17800.0,17800.0,1400.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,drink,83
fruchtcocktail granini,102,400.0,200.0,23000.0,23000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,drink,84
peach nectar,125,1300.0,600.0,200.0,500.0,29700.0,27800.0,500.0,200.0,0.0,77.0,217300.0,0.0,0.038,0.1,0.005,0.0,0.049,0.5,0.2,0.091,75.2,0.0,1.5,0.0,0.2,0.2,0.058,12.5,0.071,31.949,drink,85
orange pineapple juice,15,80.0,56.0,26.0,24.0,3600.0,3100.0,100.0,32.0,0.0,44.0,25700.0,0.0,0.044,0.01,0.0,0.069,0.054,0.0,0.053,12.0,0.0,0.036,0.016,2.4,0.086,3.0,3.2,44.3,0.072,18.261,drink,86
cranberry juice,92,300.0,61.0,98.0,100.0,24400.0,24200.0,800.0,200.0,0.0,93.0,174300.0,0.0,0.0,0.069,0.011,0.0,0.016,0.2,0.0,0.1,18.6,0.0,2.4,0.099,0.1,0.5,0.0,26.0,0.036,25.975,drink,87
white grapefruit juice,96,200.0,83.0,91.0,7.0,22700.0,22500.0,1200.0,200.0,0.0,18.0,222300.0,0.0,0.015,0.029,0.0,0.005,0.5,0.5,0.1,93.9,0.0,0.5,0.0,22.2,0.5,29.6,37.1,400.1,0.1,140.9,drink,88
mango nectar,128,200.0,40.0,92.0,66.0,32900.0,31200.0,300.0,800.0,0.0,61.0,217400.0,0.0,0.0,0.039,0.055,0.0,0.06,0.2,0.2,0.038,38.2,0.0,0.5,0.047,0.087,0.9,0.007,5.0,0.025,34.447,drink,89
acerola cherry juice,56,700.0,200.0,200.0,200.0,11600.0,10900.0,1000.0,700.0,0.0,82.0,228200.0,0.0,0.067,0.084,0.0,0.1,1.0,0.5,0.051,3872.0,0.0,0.4,0.057,24.2,1.2,29.0,21.8,234.7,0.2,3911.4,drink,90
apple juice concentrate,350,800.0,100.0,53.0,200.0,86500.0,81900.0,1100.0,800.0,0.0,49.0,120300.0,0.0,0.029,0.005,0.0,0.1,0.3,0.5,0.2,4.4,0.0,0.022,0.0,42.2,1.9,35.9,52.8,945.3,0.3,137.7,drink,91
papaya nectar,143,400.0,100.0,100.0,70.0,36300.0,34800.0,400.0,1500.0,0.0,82.0,212600.0,0.0,0.0,0.053,0.039,0.0,0.077,0.4,0.1,0.017,7.5,0.0,0.6,0.076,0.029,0.9,0.012,0.0,0.072,38.657,drink,92
apple juice martinellis,122,0.0,0.0,29100.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,drink,93
lime juice,61,200.0,52.0,87.0,71.0,20400.0,4100.0,1000.0,1000.0,0.0,14.0,219700.0,0.0,0.015,0.01,0.0,0.078,0.3,0.3,0.04,72.6,0.0,0.5,0.074,33.9,0.2,19.4,33.9,283.1,0.2,129.3,drink,94
grape juice,152,300.0,60.0,30.0,59.0,37400.0,35900.0,900.0,500.0,0.0,3.0,213800.0,0.0,0.05,0.0,0.0,0.025,0.3,0.1,0.086,0.3,0.0,0.0,0.025,27.8,0.6,25.3,35.4,263.1,0.2,67.8,drink,95
water dannon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,3.3,0.0,0.0,0.0,9.9,drink,96
tap water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,236800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,2.4,0.0,0.0,0.042,7.1,drink,97
table water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,499500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,70.0,drink,98
