food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Copper,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,food_type
Bell pepper,20.0,170.0,60.0,10.0,60.0,4600.0,2400.0,860.0,1700.0,0.0,3.0,0.1109999999999999,0.06,0.01,0.0,0.03,0.48,0.1,0.22,80.0,0.0,0.37,0.0074,10.0,0.34,0.0699999999999999,10.0,0.12,20.0,175.0,0.0,0.1299999999999999,Vegetables
Russet potato,97.0,130.0,30.0,0.0,50.0,21000.0,1100.0,2600.0,2300.0,0.0,14.0,0.0029999999999999,0.0699999999999999,0.026,0.0,0.05,1.3,0.38,0.35,8.3,0.0,0.0699999999999999,0.002,18.0,1.1,0.11,30.0,0.23,71.0,550.0,0.0005,0.35,Vegetables
Red potato,89.0,150.0,30.0,0.0,40.0,20000.0,1400.0,2300.0,1800.0,0.0,12.0,0.0029999999999999,0.0699999999999999,0.027,0.0,0.05,1.6,0.34,0.21,13.0,0.0,0.08,0.0028,9.0,0.7,0.17,28.0,0.17,72.0,545.0,0.0,0.4,Vegetables
Pumpkin flowers,15.0,70.0,40.0,10.0,0.0,3300.0,0.0,1000.0,0.0,0.0,5.0,0.5841,0.04,0.059,0.0,0.08,0.69,0.0,0.0,28.0,0.0,0.0,0.0,39.0,0.7,0.0,24.0,0.0,49.0,173.0,0.0007,0.0,Vegetables
Pumpkin,20.0,70.0,40.0,10.0,0.0,4900.0,2100.0,720.0,1100.0,0.0,1.0,1.7265,0.03,0.009,0.0,0.08,0.41,0.2,0.04,4.7,0.0,0.8,0.0007999999999999,15.0,0.57,0.09,9.0,0.09,30.0,230.0,0.0001999999999999,0.23,Vegetables
Radish,16.0,100.0,30.0,20.0,50.0,3400.0,1900.0,680.0,1600.0,0.0,39.0,0.0021,0.01,0.025,0.0,0.04,0.25,0.17,0.0699999999999999,15.0,0.0,0.0,0.0013,25.0,0.34,0.05,10.0,0.0699999999999999,20.0,233.0,0.0006,0.2799999999999999,Vegetables
Daikon,18.0,100.0,30.0,20.0,50.0,4100.0,2500.0,600.0,1600.0,0.0,21.0,0.0,0.02,0.028,0.0,0.02,0.2,0.1399999999999999,0.05,22.0,0.0,0.0,0.0003,27.0,0.4,0.12,16.0,0.04,23.0,227.0,0.0007,0.15,Vegetables
Rutabagas,37.0,160.0,30.0,30.0,90.0,8600.0,4500.0,1100.0,2300.0,0.0,12.0,0.0006,0.09,0.0209999999999999,0.0,0.04,0.7,0.16,0.1,25.0,0.0,0.3,0.0003,43.0,0.44,0.03,20.0,0.1299999999999999,53.0,305.0,0.0007,0.24,Vegetables
Salsify,68.0,170.0,40.0,0.0,70.0,15000.0,2900.0,2700.0,3100.0,0.0,16.0,0.0,0.06,0.015,0.0,0.17,0.39,0.2799999999999999,0.22,4.6,0.0,0.19,0.0003,47.0,0.55,0.0699999999999999,18.0,0.21,56.0,283.0,0.0006,0.3,Vegetables
Sauerkraut,19.0,140.0,30.0,10.0,70.0,4300.0,1800.0,910.0,2900.0,0.0,661.0,0.0053999999999999,0.02,0.024,0.0,0.02,0.1399999999999999,0.09,0.1299999999999999,15.0,0.0,0.1399999999999999,0.013,30.0,1.5,0.1,13.0,0.15,20.0,170.0,0.0006,0.19,Vegetables
Seaweed,43.0,560.0,250.0,100.0,50.0,9600.0,600.0,1700.0,1300.0,0.0,233.0,0.0348,0.05,0.18,0.0,0.15,0.47,0.64,0.0,3.0,0.0,0.87,0.066,168.0,2.9,0.1299999999999999,121.0,0.2,42.0,89.0,0.0007,1.2,Vegetables
Nori,35.0,280.0,60.0,30.0,110.0,5100.0,490.0,5800.0,300.0,0.0,48.0,1.5605999999999998,0.1,0.146,0.0,0.45,1.5,0.5199999999999999,0.16,39.0,0.0,1.0,0.004,70.0,1.8,0.2599999999999999,2.0,0.99,58.0,356.0,0.0007,1.1,Vegetables
Zucchini,17.0,320.0,80.0,10.0,90.0,3100.0,2500.0,1200.0,1000.0,0.0,8.0,0.06,0.05,0.024,0.0,0.09,0.45,0.2,0.16,18.0,0.0,0.12,0.0043,16.0,0.37,0.05,18.0,0.18,38.0,261.0,0.0001999999999999,0.32,Vegetables
Sweet potato,90.0,150.0,50.0,0.0,90.0,21000.0,6500.0,2000.0,3300.0,0.0,36.0,5.7654,0.11,0.006,0.0,0.11,1.5,0.88,0.29,20.0,0.0,0.71,0.0023,38.0,0.69,0.16,27.0,0.5,54.0,475.0,0.0001999999999999,0.32,Vegetables
Taro,112.0,200.0,40.0,20.0,80.0,26000.0,400.0,1500.0,4100.0,0.0,11.0,0.0227999999999999,0.1,0.022,0.0,0.03,0.6,0.3,0.2799999999999999,4.5,0.0,2.4,0.001,43.0,0.55,0.17,33.0,0.38,84.0,591.0,0.0007,0.23,Vegetables
Tomato,18.0,200.0,30.0,30.0,80.0,3900.0,2600.0,880.0,1200.0,0.0,5.0,0.2498999999999999,0.04,0.015,0.0,0.02,0.5900000000000001,0.09,0.08,14.0,0.0,0.54,0.0079,10.0,0.27,0.06,11.0,0.11,24.0,237.0,0.0,0.17,Vegetables
Turnip,28.0,100.0,10.0,10.0,50.0,6400.0,3800.0,900.0,1800.0,0.0,67.0,0.0,0.04,0.015,0.0,0.03,0.4,0.2,0.09,21.0,0.0,0.03,0.0001,30.0,0.3,0.09,11.0,0.1299999999999999,27.0,191.0,0.0007,0.27,Vegetables
Turnip greens,20.0,230.0,50.0,20.0,90.0,4400.0,530.0,1100.0,3500.0,0.0,29.0,2.2875,0.05,0.118,0.0,0.0699999999999999,0.41,0.27,0.18,27.0,0.0,1.9,0.368,137.0,0.8,0.25,22.0,0.34,29.0,203.0,0.0009,0.1399999999999999,Vegetables
Vegetable,65.0,150.0,30.0,10.0,70.0,13000.0,3100.0,2900.0,4400.0,0.0,35.0,1.2831,0.0699999999999999,0.019,0.0,0.12,0.85,0.15,0.0699999999999999,3.2,0.0,0.38,0.024,25.0,0.82,0.08,22.0,0.38,51.0,169.0,0.0003,0.49,Vegetables
Water chestnuts,97.0,100.0,30.0,0.0,40.0,24000.0,4800.0,1400.0,3000.0,0.0,14.0,0.0,0.1399999999999999,0.016,0.0,0.2,1.0,0.48,0.33,4.0,0.0,1.2,0.0003,11.0,0.06,0.33,22.0,0.33,63.0,584.0,0.0007,0.5,Vegetables
Winter melon,13.0,200.0,20.0,40.0,90.0,3000.0,0.0,400.0,2900.0,0.0,111.0,0.0,0.04,0.005,0.0,0.11,0.4,0.1299999999999999,0.04,13.0,0.0,0.0,0.0,19.0,0.4,0.02,10.0,0.06,19.0,6.0,0.0001999999999999,0.61,Vegetables
Wax gourd,14.0,200.0,20.0,40.0,90.0,3000.0,1200.0,400.0,1000.0,0.0,107.0,0.0,0.03,0.004,0.0,0.0,0.38,0.12,0.03,11.0,0.0,0.08,0.0028,18.0,0.38,0.02,10.0,0.06,17.0,5.0,0.0001999999999999,0.5900000000000001,Vegetables
Yam,116.0,140.0,30.0,10.0,60.0,27000.0,490.0,1500.0,3900.0,0.0,8.0,0.0365999999999999,0.1,0.016,0.0,0.03,0.55,0.31,0.23,12.0,0.0,0.34,0.0023,14.0,0.5199999999999999,0.15,18.0,0.37,49.0,670.0,0.0007,0.2,Vegetables
Jícama (yam bean),38.0,90.0,0.0,0.0,0.0,8800.0,0.0,720.0,0.0,0.0,4.0,0.0056999999999999,0.02,0.008,0.0,0.03,0.19,0.12,0.04,14.0,0.0,0.0,0.0,11.0,0.57,0.05,11.0,0.06,16.0,135.0,0.0007,0.15,Vegetables
Summer squash,16.0,180.0,40.0,20.0,90.0,3400.0,2200.0,1200.0,1100.0,0.0,2.0,0.06,0.05,0.029,0.0,0.1399999999999999,0.49,0.16,0.22,17.0,0.0,0.12,0.003,15.0,0.35,0.05,17.0,0.18,38.0,262.0,0.0001999999999999,0.29,Vegetables
Winter squash,37.0,350.0,70.0,30.0,150.0,8900.0,3300.0,890.0,2800.0,0.0,1.0,1.5669,0.02,0.02,0.0,0.0699999999999999,0.5,0.23,0.16,9.6,0.0,0.12,0.0044,22.0,0.44,0.08,13.0,0.19,19.0,241.0,0.0003999999999999,0.22,Vegetables
Agar,306.0,300.0,60.0,30.0,100.0,81000.0,3000.0,6200.0,7700.0,0.0,102.0,0.0,0.01,0.58,0.0,0.22,0.2,3.0,0.3,0.0,0.0,5.0,0.024,625.0,21.0,0.61,770.0,4.3,52.0,1125.0,0.0074,5.8,Vegetables
Spirulina,26.0,390.0,140.0,30.0,110.0,2400.0,300.0,5900.0,400.0,0.0,98.0,0.0168,0.22,0.009,0.0,0.34,1.2,0.33,0.03,0.9,0.0,0.49,0.0025,12.0,2.8,0.6,19.0,0.19,11.0,127.0,0.0007,0.2,Vegetables
Wakame,45.0,640.0,130.0,60.0,220.0,9100.0,650.0,3000.0,500.0,0.0,872.0,0.1079999999999999,0.06,0.196,0.0,0.23,1.6,0.7,0.0,3.0,0.0,1.0,0.0053,150.0,2.2,0.2799999999999999,107.0,1.4,80.0,50.0,0.0007,0.38,Vegetables
Chili Pepper,40.0,200.0,20.0,10.0,110.0,9500.0,5100.0,2000.0,1500.0,0.0,7.0,0.3536999999999999,0.09,0.023,0.0,0.09,0.95,0.06,0.2799999999999999,243.0,0.0,0.69,0.014,18.0,1.2,0.17,25.0,0.24,46.0,340.0,0.0005,0.3,Vegetables
Potato,93.0,130.0,30.0,0.0,60.0,21000.0,1200.0,2500.0,2200.0,0.0,10.0,0.0029999999999999,0.06,0.028,0.0,0.05,1.4,0.38,0.31,9.6,0.0,0.04,0.002,15.0,1.1,0.12,28.0,0.22,70.0,535.0,0.0003999999999999,0.36,Vegetables
Shallot,72.0,100.0,20.0,10.0,40.0,17000.0,7900.0,2500.0,3200.0,0.0,12.0,0.0012,0.06,0.034,0.0,0.02,0.2,0.29,0.35,8.0,0.0,0.04,0.0007999999999999,37.0,1.2,0.09,21.0,0.29,60.0,334.0,0.0012,0.4,Vegetables
Arrowroot,65.0,200.0,40.0,0.0,90.0,13000.0,0.0,4200.0,1300.0,0.0,26.0,0.0056999999999999,0.1399999999999999,0.3379999999999999,0.0,0.06,1.7,0.29,0.27,1.9,0.0,0.0,0.0,6.0,2.2,0.12,25.0,0.17,98.0,454.0,0.0007,0.63,Vegetables
